state_id,grade_diksha,subject_diksha,medium,avg_play_time_in_mins_on_app_and_portal
12,Class 1,English,English,1.58
12,Class 1,English,Kannada,3.77
12,Class 2,English,Hindi,2.32
12,Class 3,English,English,1.9
12,Class 3,EVS,English,4.21
12,Class 3,EVS,English,5.14
12,Class 4,English,English,1.28
12,Class 6,Geography,English,1.99
12,Class 6,History,Kannada,1.91
12,Class 6,Social Science,English,3.54
12,Class 6,Political Science,English,4.98
12,Class 7,History,English,2.09
12,Class 7,Political Science,English,1.2
12,Class 8,Geography,English,3.34
12,Class 8,History,English,1.68
